Ordem	Página do PDF	Grande área	Módulo	Nome da aula
1	2	Cirurgia Geral	Cirurgia do Aparelho Digestivo	Abdome Agudo Inflamatório
2	2	Cirurgia Geral	Cirurgia do Aparelho Digestivo	Abdome Agudo Obstrutivo
3	2	Cirurgia Geral	Hepatologia	Afecções Benignas das Vias Biliares
4	2	Cirurgia Geral	Gastroenterologia	Afecções Pancreáticas
5	2	Cirurgia Geral	Cirurgia Geral	Anestesia
6	2	Cirurgia Geral	Cirurgia Vascular	Aneurismas
7	2	Cirurgia Geral	Cirurgia Pediátrica	Cirurgia Pediátrica
8	2	Cirurgia Geral	Cirurgia Torácica	Cirurgia Torácica
9	2	Cirurgia Geral	Cirurgia Vascular	Doença Arterial Periférica
10	2	Cirurgia Geral	Cirurgia Geral	Feridas, Enxertos e Retalhos
11	2	Cirurgia Geral	Cirurgia Geral	Hérnias
12	2	Cirurgia Geral	Cirurgia Geral	Técnica Operatória
13	2	Cirurgia Geral	Trauma	Trauma Cranioencefálico (TCE)
14	2	Cirurgia Geral	Dermatologia	Tumores Dermatológicos
15	3	Cirurgia Geral	Ortopedia	Fraturas Ósseas
16	3	Cirurgia Geral	Ortopedia	Ortopedia Pediátrica
17	3	Cirurgia Geral	Ortopedia	Luxações / Lesões Ligamentares
18	3	Cirurgia Geral	Ortopedia	Tendinites/ Tenossinovites/ Fasceítes e Bursites
19	3	Cirurgia Geral	Ortopedia	Tumores Ortopédicos
20	3	Cirurgia Geral	Endocrinologia	Como cai na CIR: Tireoide
21	3	Cirurgia Geral	Cirurgia do Aparelho Digestivo	Abdome Agudo Isquêmico
22	3	Cirurgia Geral	Cirurgia do Aparelho Digestivo	Abdome Agudo Perfurativo
23	3	Cirurgia Geral	Urologia	Afecções Urológicas Benignas
24	3	Cirurgia Geral	Cirurgia do Aparelho Digestivo	Cólon e Reto na Cirurgia
25	3	Cirurgia Geral	Cirurgia Geral	Cuidados e Complicações Pós-Operatórias
26	3	Cirurgia Geral	Gastroenterologia	Doença Inflamatória Intestinal
27	4	Cirurgia Geral	Cirurgia Vascular	Doenças Venosas
28	4	Cirurgia Geral	Gastroenterologia	Síndrome Disfágica
29	4	Cirurgia Geral	Gastroenterologia	Síndrome Dispéptica
30	4	Cirurgia Geral	Gastroenterologia	Hemorragia Digestiva
31	4	Cirurgia Geral	Cirurgia do Aparelho Digestivo	Tumores do Aparelho Digestivo
32	4	Cirurgia Geral	Urologia	Tumores Urológicos
33	4	Cirurgia Geral	Trauma	Abordagem Inicial (xABCDE)
34	4	Cirurgia Geral	Cirurgia do Aparelho Digestivo	Cirurgia da Obesidade
35	4	Cirurgia Geral	Cirurgia Geral	Cuidados Pré-Operatórios
36	4	Cirurgia Geral	Trauma	Queimaduras
37	4	Cirurgia Geral	Trauma	Trauma Abdominal
38	4	Cirurgia Geral	Trauma	Trauma de Face e Pescoço
39	4	Cirurgia Geral	Trauma	Trauma Torácico
40	4	Clínica Médica	Gastroenterologia	Como cai na CM: Síndrome Disfágica
41	5	Clínica Médica	Cardiologia	Arritmias, Síncope e PCR
42	5	Clínica Médica	Reumatologia	Artrites e Diagnósticos Diferenciais
43	5	Clínica Médica	Neurologia	Cefaleias e Tumores do SNC
44	5	Clínica Médica	Oncologia e Hematologia	Distúrbios da Hemostasia, Desordens Trombóticas e Transfusão de Hemocomponentes
45	5	Clínica Médica	Pneumologia	Embolia Pulmonar e Hipertensão Pulmonar
46	5	Clínica Médica	Nefrologia	Glomerulopatias e Tubulopatias
47	5	Clínica Médica	Infectologia	Infecções do Sistema Nervoso Central
48	5	Clínica Médica	Oncologia e Hematologia	Onco-Hematologia
49	5	Clínica Médica	Neurologia	Síndromes Neurológicas e Fraqueza Muscular
50	5	Clínica Médica	Infectologia	Tuberculose
51	6	Clínica Médica	Endocrinologia	Paratireoides, Suprarrenal e Outras Síndromes Endócrinas
52	6	Clínica Médica	Cardiologia	Valvopatias e Cardiomiopatias
53	6	Clínica Médica	Hepatologia	Cirrose, Insuficiência Hepática e Complicações
54	6	Clínica Médica	Reumatologia	Colagenoses e Miopatias
55	6	Clínica Médica	Nefrologia	Distúrbios Hidroeletrolíticos e Acidobásicos
56	6	Clínica Médica	Dermatologia	Farmacodermias e Dermatoses
57	6	Clínica Médica	Endocrinologia	Tireoide
58	6	Clínica Médica	Psiquiatria	Transtornos Mentais
59	6	Clínica Médica	Reumatologia	Vasculites
60	6	Clínica Médica	Neurologia	Neurointensivismo e Ética Médica
61	6	Clínica Médica	Infectologia	Pneumonias e Síndromes Gripais
62	6	Clínica Médica	Infectologia	Como cai na CM: Doenças Sexualmente Transmissíveis
63	7	Clínica Médica	Infectologia	Como cai na CM: Infecções de Pele, Ossos e Partes Moles
64	7	Clínica Médica	Gastroenterologia	Como cai na CM: Síndromes Diarreicas e Disabsortivas
65	7	Clínica Médica	Endocrinologia	Diabetes
66	7	Clínica Médica	Pneumologia	Distúrbios Obstrutivos
67	7	Clínica Médica	Hepatologia	Hepatites e Doenças do Metabolismo da Bilirrubina
68	7	Clínica Médica	Cardiologia	Hipertensão Arterial Sistêmica
69	7	Clínica Médica	Nefrologia	Insuficiência Renal
70	7	Clínica Médica	Terapia Intensiva	Sepse, Choque Séptico e Outros Tipos de Choque
71	7	Clínica Médica	Endocrinologia	Síndrome Metabólica e Dislipidemia
72	7	Clínica Médica	Oncologia e Hematologia	Anemias e Hemoglobinopatias
73	7	Clínica Médica	Neurologia	AVC
74	8	Clínica Médica	Dermatologia	Doenças Infectoparasitárias com Acometimento Dermatológico
75	8	Clínica Médica	Pneumologia	Doenças pulmonares intersticiais
76	8	Clínica Médica	Infectologia	Endocardite e Infecção de Corrente Sanguínea
77	8	Clínica Médica	Geriatria	Geriatria e Demências
78	8	Clínica Médica	Infectologia	HIV e AIDS no Adulto Não Gestante
79	8	Clínica Médica	Cardiologia	Insuficiência Cardíaca
80	8	Clínica Médica	Toxicologia e Farmacologia	Intoxicações Exógenas e Acidentes por Animais Peçonhentos
81	8	Clínica Médica	Terapia Intensiva	Pneumointensivismo
82	8	Clínica Médica	Cardiologia	Síndrome Coronariana e Diagnósticos Diferenciais
83	8	Clínica Médica	Infectologia	Síndromes Febris
84	9	Clínica Médica	Psiquiatria	Abuso de Álcool, Tabaco e Outras Substâncias
85	9	Ginecologia e Obstetrícia	Ginecologia Endócrina	Ciclo Menstrual
86	9	Ginecologia e Obstetrícia	Ginecologia Endócrina	Contracepção
87	9	Ginecologia e Obstetrícia	Doenças Clínicas na Gestação	Diabetes mellitus na Gravidez
88	9	Ginecologia e Obstetrícia	Infecções do Trato Genital Feminino	Doença Inflamatória Pélvica e Violência sexual
89	9	Ginecologia e Obstetrícia	Mama	Doenças Benignas da Mama
90	9	Ginecologia e Obstetrícia	Corpo Uterino	Doenças do Corpo Uterino e Endométrio
91	9	Ginecologia e Obstetrícia	Parto	Estática fetal, pelve e mecanismo de parto
92	9	Ginecologia e Obstetrícia	Prematuridade na Obstetrícia	Rotura Prematura de Membranas Ovulares e Infecção Ovular
93	9	Ginecologia e Obstetrícia	Sofrimento Fetal	Sofrimento Fetal
94	9	Ginecologia e Obstetrícia	Prematuridade na Obstetrícia	Trabalho de parto prematuro
95	10	Ginecologia e Obstetrícia	Infecções do Trato Genital Feminino	Vulvovaginites
96	10	Ginecologia e Obstetrícia	Vulva e Vagina	Patologias de Vulva e Vagina
97	10	Ginecologia e Obstetrícia	Ginecologia Endócrina	Amenorreias e Síndrome dos Ovários Policísticos
98	10	Ginecologia e Obstetrícia	Ginecologia Geral	Anatomia Pélvica
99	10	Ginecologia e Obstetrícia	Parto	Assistência ao Parto
100	10	Ginecologia e Obstetrícia	Ginecologia Endócrina	Climatério
101	10	Ginecologia e Obstetrícia	Uroginecologia	Incontinência urinária e Prolapsos de Órgãos Pélvicos
102	10	Ginecologia e Obstetrícia	Infertilidade	Infertilidade Conjugal
103	10	Ginecologia e Obstetrícia	Medicina Fetal	Medicina Fetal
104	10	Ginecologia e Obstetrícia	Doenças Clínicas na Gestação	Outras doenças na gestação
105	10	Ginecologia e Obstetrícia	Sangramento Uterino Anormal	PALM-COEIN
106	10	Ginecologia e Obstetrícia	Puerpério	Puerpério
